policy_id,occupation,age,coverage_amount,premium,policy_type,issue_date,risk_rating,medical_exam_required
PP-1001,Firefighter,62,1000000,550,Universal Life,2021-11-14,Low,Yes
PP-1002,Journalist,23,2000000,775,Whole Life,2022-01-12,Low,Yes
PP-1003,Factory Worker,78,1000000,1233,Whole Life,2018-10-08,Medium,Yes
PP-1004,Software Engineer,62,15000000,33000,Whole Life,2024-01-06,High,Yes
PP-1005,Researcher,64,10000000,22333,Whole Life,2018-09-26,High,Yes
PP-1006,Researcher,56,50000,26,Universal Life,2019-11-16,Low,No
PP-1007,Military Officer,45,2000000,958,Universal Life,2018-12-09,Low,Yes
PP-1008,Bus Driver,53,500000,512,Universal Life,2018-08-02,Medium,Yes
PP-1009,Graphic Designer,65,5000000,5625,Term Life,2019-11-08,Medium,Yes
PP-1010,Artist,40,2000000,1833,Term Life,2022-03-15,Medium,Yes
PP-1011,Artist,22,2000000,1533,Whole Life,2019-05-22,Medium,Yes
PP-1012,Taxi Driver,29,1000000,825,Universal Life,2020-09-23,Medium,Yes
PP-1013,Accountant,62,15000000,33000,Universal Life,2020-09-26,High,Yes
PP-1014,Photographer,55,25000,52,Term Life,2023-06-02,High,No
PP-1015,Service Worker,71,2000000,1175,Universal Life,2019-12-01,Low,Yes
PP-1016,Dancer,55,2000000,1041,Universal Life,2022-07-20,Low,Yes
PP-1017,Air Traffic Controller,40,5000000,2291,Whole Life,2019-03-23,Low,Yes
PP-1018,Truck Driver,28,750000,306,Whole Life,2021-09-03,Low,Yes
PP-1019,Chef,68,2000000,1149,Whole Life,2018-09-26,Low,Yes
PP-1020,Truck Driver,39,25000,45,Whole Life,2021-05-28,High,No
PP-1021,Retired,41,2000000,925,Whole Life,2018-04-27,Low,Yes
PP-1022,Researcher,78,750000,1850,Whole Life,2022-02-19,High,Yes
PP-1023,Mechanical Engineer,76,50000,121,Term Life,2019-04-21,High,No
PP-1024,Teacher,18,15000000,11000,Term Life,2018-06-21,Medium,Yes
PP-1025,Graphic Designer,79,5000000,3104,Whole Life,2024-07-31,Low,Yes
PP-1026,Commercial Pilot,36,25000,11,Universal Life,2023-12-19,Low,No
PP-1027,Physicist,18,1000000,733,Term Life,2023-10-27,Medium,Yes
PP-1028,Software Engineer,80,250000,312,Whole Life,2019-12-20,Medium,No
PP-1029,Photographer,78,750000,925,Universal Life,2020-09-14,Medium,Yes
PP-1030,Writer,49,100000,198,Whole Life,2024-11-02,High,No
PP-1031,Healthcare Worker,60,10000000,10833,Whole Life,2021-11-24,Medium,Yes
PP-1032,Photographer,19,2000000,2966,Whole Life,2023-02-09,High,Yes
PP-1033,Commercial Pilot,54,1000000,516,Universal Life,2020-11-26,Low,Yes
PP-1034,Retired,76,25000,15,Whole Life,2019-12-21,Low,No
PP-1035,Retired,29,250000,412,Term Life,2020-08-03,High,No
PP-1036,Professional Athlete,58,500000,266,Term Life,2020-04-07,Low,Yes
PP-1037,Researcher,44,15000000,7125,Term Life,2023-03-01,Low,Yes
PP-1038,Military Officer,29,250000,206,Whole Life,2020-07-04,Medium,No
PP-1039,Police Officer,73,750000,446,Universal Life,2021-08-09,Low,Yes
PP-1040,Civil Engineer,21,5000000,3791,Whole Life,2023-11-03,Medium,Yes
PP-1041,Architect,40,15000000,6875,Term Life,2024-07-27,Low,Yes
PP-1042,Accountant,31,250000,105,Term Life,2023-01-30,Low,No
PP-1043,High-Risk Driver,52,250000,127,Term Life,2022-07-01,Low,No
PP-1044,Journalist,48,1000000,983,Term Life,2021-01-31,Medium,Yes
PP-1045,Factory Worker,66,100000,56,Whole Life,2023-12-16,Low,No
PP-1046,Chef,51,100000,50,Whole Life,2019-10-14,Low,No
PP-1047,Veterinarian,49,10000000,4958,Universal Life,2020-07-26,Low,Yes
PP-1048,Miner,39,15000000,13625,Term Life,2018-07-25,Medium,Yes
PP-1049,Researcher,26,100000,160,Universal Life,2024-11-18,High,No
PP-1050,Chef,51,250000,252,Whole Life,2024-02-26,Medium,No
PP-1051,Writer,69,15000000,34750,Whole Life,2022-10-23,High,Yes
PP-1052,Professional Athlete,31,750000,631,Universal Life,2024-09-16,Medium,Yes
PP-1053,Software Engineer,37,750000,1337,Whole Life,2022-03-11,High,Yes
PP-1054,Veterinarian,18,10000000,14666,Term Life,2023-12-01,High,Yes
PP-1055,Chemist,43,50000,23,Term Life,2024-06-20,Low,No
PP-1056,Actor,37,1000000,445,Term Life,2018-11-01,Low,Yes
PP-1057,Biologist,20,500000,375,Whole Life,2019-05-10,Medium,Yes
PP-1058,Biologist,64,15000000,8375,Whole Life,2021-07-23,Low,Yes
PP-1059,Taxi Driver,27,5000000,4041,Whole Life,2019-04-27,Medium,Yes
PP-1060,Miner,35,10000000,4375,Term Life,2020-11-07,Low,Yes
PP-1061,Software Engineer,77,500000,306,Whole Life,2023-06-02,Low,Yes
PP-1062,Pilot,56,750000,393,Term Life,2018-01-04,Low,Yes
PP-1063,Miner,49,500000,495,Universal Life,2024-06-01,Medium,Yes
PP-1064,Truck Driver,68,15000000,34499,Universal Life,2024-06-28,High,Yes
PP-1065,Student,55,50000,52,Whole Life,2018-10-05,Medium,No
PP-1066,Attorney,44,100000,47,Term Life,2021-02-01,Low,No
PP-1067,Pharmacist,68,1000000,2299,Universal Life,2024-08-21,High,Yes
PP-1068,Mechanical Engineer,60,100000,216,Universal Life,2023-04-26,High,No
PP-1069,Skilled Laborer,78,1000000,616,Universal Life,2024-05-20,Low,Yes
PP-1070,Student,26,1000000,400,Whole Life,2020-02-28,Low,Yes
PP-1071,Writer,63,500000,277,Universal Life,2018-08-20,Low,Yes
PP-1072,Photographer,50,10000000,5000,Term Life,2018-01-03,Low,Yes
PP-1073,Police Officer,52,50000,50,Whole Life,2024-01-30,Medium,No
PP-1074,Dentist,39,1000000,454,Term Life,2021-05-01,Low,Yes
PP-1075,Therapist,44,250000,118,Term Life,2019-12-31,Low,No
PP-1076,Miner,27,50000,40,Universal Life,2020-11-06,Medium,No
PP-1077,Pharmacist,72,750000,443,Whole Life,2018-03-01,Low,Yes
PP-1078,Commercial Pilot,50,750000,375,Whole Life,2022-07-26,Low,Yes
PP-1079,Miner,32,5000000,4250,Universal Life,2020-01-03,Medium,Yes
PP-1080,Journalist,33,250000,429,Universal Life,2023-03-19,High,No
PP-1081,Chef,39,15000000,6812,Whole Life,2020-08-05,Low,Yes
PP-1082,Chemist,26,2000000,800,Whole Life,2018-05-28,Low,Yes
PP-1083,Surgeon,54,500000,1033,Term Life,2018-04-30,High,Yes
PP-1084,Software Engineer,36,250000,220,Universal Life,2024-07-13,Medium,No
PP-1085,Professional Athlete,23,750000,581,Universal Life,2024-05-07,Medium,Yes
PP-1086,Chemical Plant Operator,62,100000,55,Universal Life,2018-02-08,Low,No
PP-1087,Professional Athlete,63,50000,110,Term Life,2020-02-25,High,No
PP-1088,Taxi Driver,52,2000000,2033,Term Life,2019-06-24,Medium,Yes
PP-1089,Nurse,23,250000,96,Universal Life,2022-05-20,Low,No
PP-1090,Physicist,40,750000,687,Term Life,2018-05-05,Medium,Yes
PP-1091,Scientist,40,15000000,27500,Term Life,2019-08-21,High,Yes
PP-1092,Manager,36,750000,331,Universal Life,2022-10-22,Low,Yes
PP-1093,Graphic Designer,60,750000,406,Whole Life,2021-06-17,Low,Yes
